count,encroached,area_m2,area_feddan,patch_id,mean_carbon_potential,rank,centroid_lat,centroid_lon,relative_carbon_loss_share_pct,size_class
3,1,256.2226679850704,0.06099334369281081,KED-ENCR-0036,15.43539083956859,85,31.147121155140407,30.115585714401952,0.00601787445856536,Small (<500 m²)
3,1,256.2224759958291,0.060993297990118406,KED-ENCR-0041,11.78405667005861,86,31.147121155149325,30.116064815806837,0.004594306762496138,Small (<500 m²)
3,1,256.2197369456404,0.06099264596416432,KED-ENCR-0028,12.564093355853425,87,31.148318908916593,30.114717342936075,0.004898371046265926,Small (<500 m²)
3,1,256.2168163087343,0.06099195071181988,KED-ENCR-0025,4.793818689953613,88,31.149456774876015,30.114477792184218,0.0018689478291608898,Small (<500 m²)
3,1,256.21672148522083,0.06099192813925363,KED-ENCR-0040,1.620955766983683,89,31.149307055729118,30.11588515280544,0.0006319556154752374,Small (<500 m²)
2,1,170.86221159931506,0.040673441105523206,KED-ENCR-0165,11.321051233292142,90,31.118719420221286,30.13016836583427,0.002943341968189075,Small (<500 m²)
2,1,170.86170353210423,0.04067332016104061,KED-ENCR-0160,10.798806395634118,91,31.119078746346695,30.129584460936695,0.0028075560213112467,Small (<500 m²)
2,1,170.8613744102269,0.040673241814171694,KED-ENCR-0155,7.10620292597705,92,31.11934824092019,30.128910724436505,0.0018475212585414738,Small (<500 m²)
2,1,170.8612171967977,0.04067320438979861,KED-ENCR-0167,3.875011773280289,93,31.119258409391772,30.130348028891095,0.001007452237924625,Small (<500 m²)
2,1,170.86039630691076,0.04067300897844254,KED-ENCR-0128,8.034720667768726,94,31.1202465562043,30.126125947055737,0.002088911957319208,Small (<500 m²)
2,1,170.8581401411642,0.04067247190225841,KED-ENCR-0142,50.4672001527488,95,31.12132453454919,30.12769799875582,0.013120573837897661,Small (<500 m²)
2,1,170.85140676982928,0.04067086903536427,KED-ENCR-0152,11.42556608972551,96,31.12500762721014,30.12864122985127,0.002970326771520615,Small (<500 m²)
2,1,170.8482753870717,0.04067012361535023,KED-ENCR-0080,33.49970727011568,97,31.127612741534072,30.121903865220375,0.008708824825088075,Small (<500 m²)
2,1,170.8476278073196,0.040669969460158974,KED-ENCR-0065,66.776867281917,98,31.12810681498465,30.12087080263774,0.01735972886418479,Small (<500 m²)
2,1,170.84760955251681,0.04066996511463611,KED-ENCR-0098,7.4882930151181295,99,31.12788223612325,30.122757264693146,0.0019467029197323066,Small (<500 m²)
2,1,170.84747882115803,0.040669933994272094,KED-ENCR-0068,24.041744588318736,100,31.128151730704545,30.121185212993083,0.006250035686156229,Small (<500 m²)
2,1,170.84374827654656,0.04066904594486008,KED-ENCR-0081,1.5612154243648315,101,31.13017294013813,30.121858949450274,0.0004058540351239544,Small (<500 m²)
2,1,170.84118260707896,0.04066843519187374,KED-ENCR-0109,4.923368229446741,102,31.131430581535916,30.123386085433275,0.0012798610770576274,Small (<500 m²)
2,1,170.83955094040547,0.04066804677656689,KED-ENCR-0110,19.720168645472356,103,31.132328896820017,30.12356574849011,0.005126335072504881,Small (<500 m²)
2,1,170.83747165901127,0.04066755180738361,KED-ENCR-0118,8.502838481617513,104,31.133451790880848,30.123969990373855,0.002210319262228609,Small (<500 m²)
2,1,170.83727952706846,0.04066750607072137,KED-ENCR-0066,57.38354053945791,105,31.133945864331437,30.12087080263774,0.014916877771783561,Small (<500 m²)
